posting_id,posting_date,role,experience_years,company_type,city,education_tier,skills_count,has_genai_llm_skills,has_mlops_skills,has_cloud_skills,remote_friendly,salary_lpa
JP102976,2024-09-01,Software Engineer,5.4,IT Services,Mumbai,Other,11,0,0,0,0,18.7
JP103537,2024-09-01,AI/ML Engineer,0.4,Product (Indian),Bangalore,Tier-2 Engineering College,5,0,0,1,0,29.6
JP107621,2024-09-01,AI/ML Engineer,2.4,Startup,Delhi NCR,Other,7,1,0,0,0,35.5
JP103546,2024-09-01,DevOps Engineer,2.5,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,14,0,1,1,1,26.2
JP104249,2024-09-01,Mobile Developer,10.0,IT Services,Remote/Tier-2,Tier-2 Engineering College,12,0,0,1,1,16.7
JP110344,2024-09-01,Product Manager,2.8,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,6,0,0,1,1,33.7
JP107419,2024-09-01,Software Engineer,12.2,Product (Indian),Mumbai,Tier-2 Engineering College,6,0,0,1,0,42.5
JP110351,2024-09-01,Software Engineer,2.7,FAANG/MNC,Bangalore,Tier-2 Engineering College,8,0,0,0,0,52.0
JP100411,2024-09-01,Product Manager,2.1,FAANG/MNC,Chennai,Tier-2 Engineering College,8,0,0,0,0,62.1
JP100412,2024-09-01,Software Engineer,5.8,IT Services,Delhi NCR,Other,11,0,0,0,0,13.9
JP104211,2024-09-01,Data Scientist,1.4,Startup,Chennai,Tier-2 Engineering College,3,0,0,0,1,12.9
JP110364,2024-09-01,DevOps Engineer,0.8,Product (Indian),Bangalore,Tier-2 Engineering College,15,0,0,1,0,21.4
JP104169,2024-09-01,DevOps Engineer,7.8,IT Services,Bangalore,Tier-2 Engineering College,11,0,1,1,0,31.7
JP104149,2024-09-01,Software Engineer,3.4,IT Services,Hyderabad,Tier-2 Engineering College,12,0,0,1,1,18.2
JP104139,2024-09-01,Mobile Developer,1.2,IT Services,Bangalore,Other,14,0,0,0,0,13.0
JP104128,2024-09-01,Software Engineer,9.2,IT Services,Delhi NCR,Other,10,0,0,1,0,20.5
JP104119,2024-09-01,Mobile Developer,2.8,IT Services,Pune,Other,6,1,0,1,0,16.2
JP110378,2024-09-01,DevOps Engineer,4.0,Startup,Mumbai,Premier (IIT/NIT/IIIT),6,0,0,0,0,36.1
JP104110,2024-09-01,Data Scientist,5.5,IT Services,Hyderabad,Tier-2 Engineering College,7,0,0,0,0,21.5
JP104085,2024-09-01,Software Engineer,3.8,Product (Indian),Bangalore,Premier (IIT/NIT/IIIT),5,0,0,0,0,36.3
JP104084,2024-09-01,AI/ML Engineer,12.3,IT Services,Bangalore,Premier (IIT/NIT/IIIT),6,0,0,0,0,46.3
JP100396,2024-09-01,Data Scientist,3.7,IT Services,Bangalore,Other,13,0,0,0,1,16.7
JP104280,2024-09-01,Mobile Developer,0.9,Product (Indian),Hyderabad,Tier-2 Engineering College,12,0,0,0,0,14.1
JP110322,2024-09-01,Software Engineer,3.4,FAANG/MNC,Mumbai,Tier-2 Engineering College,12,0,0,0,0,67.3
JP107393,2024-09-01,Software Engineer,2.1,Startup,Remote/Tier-2,Tier-2 Engineering College,6,1,0,1,1,24.1
JP100343,2024-09-01,Software Engineer,9.1,Product (Indian),Delhi NCR,Other,10,0,0,1,0,40.6
JP104583,2024-09-01,Software Engineer,4.6,IT Services,Delhi NCR,Other,11,0,1,1,1,15.6
JP109183,2024-09-01,Software Engineer,2.4,IT Services,Chennai,Other,8,0,0,0,1,11.1
JP110214,2024-09-01,Data Scientist,0.4,IT Services,Bangalore,Other,9,1,0,0,1,12.6
JP110217,2024-09-01,Product Manager,5.5,IT Services,Hyderabad,Tier-2 Engineering College,6,0,0,0,1,32.6
JP104529,2024-09-01,Software Engineer,3.9,IT Services,Chennai,Other,4,0,0,1,0,15.5
JP104505,2024-09-01,Software Engineer,10.1,Startup,Bangalore,Other,14,0,0,1,0,42.7
JP104478,2024-09-01,DevOps Engineer,0.8,Startup,Mumbai,Other,13,0,0,0,1,15.6
JP104066,2024-09-01,Software Engineer,8.6,Startup,Hyderabad,Tier-2 Engineering College,11,1,1,0,1,48.2
JP107348,2024-09-01,AI/ML Engineer,2.3,Startup,Pune,Other,14,0,1,0,1,23.6
JP107365,2024-09-01,Software Engineer,6.2,FAANG/MNC,Bangalore,Other,6,0,0,0,0,57.8
JP107371,2024-09-01,Data Scientist,4.2,FAANG/MNC,Delhi NCR,Premier (IIT/NIT/IIIT),10,0,1,1,0,104.2
JP104374,2024-09-01,Software Engineer,7.7,IT Services,Delhi NCR,Premier (IIT/NIT/IIIT),13,0,1,1,0,32.7
JP110292,2024-09-01,Product Manager,5.0,IT Services,Chennai,Other,3,0,0,0,0,18.4
JP111840,2024-09-01,Mobile Developer,5.6,FAANG/MNC,Mumbai,Tier-2 Engineering College,3,0,0,0,0,54.2
JP104336,2024-09-01,Data Scientist,5.1,IT Services,Bangalore,Tier-2 Engineering College,10,0,0,1,0,25.6
JP108547,2024-09-01,Mobile Developer,1.6,IT Services,Remote/Tier-2,Tier-2 Engineering College,3,0,0,0,1,8.1
JP110308,2024-09-01,Data Scientist,2.8,Product (Indian),Bangalore,Other,4,0,0,0,0,33.9
JP107353,2024-09-01,Mobile Developer,2.5,IT Services,Delhi NCR,Tier-2 Engineering College,12,0,0,0,1,14.1
JP102635,2024-09-01,Software Engineer,2.3,Product (Indian),Pune,Tier-2 Engineering College,4,0,0,1,1,28.1
JP104043,2024-09-01,DevOps Engineer,2.3,Product (Indian),Bangalore,Tier-2 Engineering College,14,0,1,1,1,39.1
JP110414,2024-09-01,Mobile Developer,2.3,FAANG/MNC,Bangalore,Other,14,1,0,0,0,75.9
JP103687,2024-09-01,Mobile Developer,2.9,IT Services,Remote/Tier-2,Tier-2 Engineering College,8,0,1,0,1,15.0
JP103669,2024-09-01,DevOps Engineer,13.3,IT Services,Bangalore,Other,12,0,0,1,0,35.1
JP100498,2024-09-01,AI/ML Engineer,9.8,Startup,Hyderabad,Premier (IIT/NIT/IIIT),15,0,0,1,0,75.1
JP107577,2024-09-01,Product Manager,4.3,IT Services,Mumbai,Other,9,0,0,0,0,19.6
JP103657,2024-09-01,AI/ML Engineer,13.9,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,7,0,0,0,1,49.0
JP111797,2024-09-01,Software Engineer,1.5,IT Services,Remote/Tier-2,Tier-2 Engineering College,7,0,0,0,1,8.8
JP107594,2024-09-01,Data Scientist,1.8,Startup,Delhi NCR,Tier-2 Engineering College,5,0,0,1,0,21.8
JP109049,2024-09-01,DevOps Engineer,3.8,FAANG/MNC,Delhi NCR,Tier-2 Engineering College,14,0,1,1,0,83.1
JP103618,2024-09-01,Software Engineer,8.1,Startup,Remote/Tier-2,Other,14,0,0,0,1,20.0
JP110576,2024-09-01,AI/ML Engineer,3.2,Startup,Mumbai,Tier-2 Engineering College,13,0,0,0,0,23.5
JP107603,2024-09-01,Data Scientist,5.9,IT Services,Chennai,Tier-2 Engineering College,9,0,0,0,0,20.3
JP103610,2024-09-01,Data Scientist,2.9,FAANG/MNC,Remote/Tier-2,Premier (IIT/NIT/IIIT),16,1,0,1,1,88.6
JP100512,2024-09-01,Software Engineer,3.6,Startup,Delhi NCR,Tier-2 Engineering College,7,0,0,0,0,23.7
JP103601,2024-09-01,Software Engineer,1.9,IT Services,Pune,Other,6,1,0,0,1,16.1
JP107610,2024-09-01,DevOps Engineer,11.4,Startup,Delhi NCR,Tier-2 Engineering College,8,1,1,1,0,69.4
JP103586,2024-09-01,Software Engineer,2.6,Startup,Bangalore,Premier (IIT/NIT/IIIT),11,0,0,0,1,43.0
JP103561,2024-09-01,Product Manager,0.5,Product (Indian),Chennai,Premier (IIT/NIT/IIIT),13,0,0,0,0,26.9
JP110550,2024-09-01,AI/ML Engineer,2.8,Product (Indian),Hyderabad,Other,15,0,0,1,0,29.8
JP110549,2024-09-01,AI/ML Engineer,5.9,FAANG/MNC,Remote/Tier-2,Other,6,1,0,1,1,79.3
JP110546,2024-09-01,Mobile Developer,13.4,IT Services,Remote/Tier-2,Tier-2 Engineering College,9,0,0,1,1,21.3
JP103740,2024-09-01,AI/ML Engineer,5.1,IT Services,Remote/Tier-2,Other,10,0,0,0,1,19.4
JP104002,2024-09-01,Data Scientist,4.6,Product (Indian),Delhi NCR,Tier-2 Engineering College,13,0,0,0,0,31.4
JP107474,2024-09-01,Mobile Developer,1.8,Product (Indian),Bangalore,Other,6,1,0,1,0,37.9
JP103990,2024-09-01,Product Manager,3.8,FAANG/MNC,Bangalore,Premier (IIT/NIT/IIIT),4,0,0,0,1,122.5
JP110427,2024-09-01,Software Engineer,1.5,Startup,Mumbai,Other,9,0,0,0,0,16.3
JP103953,2024-09-01,Data Scientist,4.1,Product (Indian),Chennai,Tier-2 Engineering College,13,0,0,1,1,27.3
JP103944,2024-09-01,Data Scientist,7.6,Product (Indian),Hyderabad,Tier-2 Engineering College,12,1,0,1,0,48.5
JP110445,2024-09-01,AI/ML Engineer,6.0,Product (Indian),Delhi NCR,Premier (IIT/NIT/IIIT),11,1,0,1,1,97.5
JP100459,2024-09-01,Software Engineer,3.4,FAANG/MNC,Pune,Tier-2 Engineering College,7,0,0,1,0,58.5
JP107469,2024-09-01,Software Engineer,2.3,FAANG/MNC,Hyderabad,Other,11,0,0,1,0,63.9
JP103927,2024-09-01,DevOps Engineer,6.5,IT Services,Hyderabad,Tier-2 Engineering College,14,0,0,0,0,23.1
JP109096,2024-09-01,Software Engineer,3.1,Product (Indian),Delhi NCR,Other,8,0,0,1,0,30.8
JP103890,2024-09-01,DevOps Engineer,9.2,IT Services,Delhi NCR,Premier (IIT/NIT/IIIT),15,0,0,1,1,29.8
JP107518,2024-09-01,Data Scientist,5.9,IT Services,Hyderabad,Tier-2 Engineering College,9,0,1,0,0,23.0
JP103808,2024-09-01,Software Engineer,3.8,Startup,Chennai,Tier-2 Engineering College,4,0,0,1,0,25.0
JP110499,2024-09-01,Data Scientist,2.7,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,12,0,0,1,1,23.5
JP103789,2024-09-01,Product Manager,6.6,IT Services,Pune,Tier-2 Engineering College,5,0,0,1,0,32.2
JP107546,2024-09-01,Software Engineer,3.0,IT Services,Bangalore,Tier-2 Engineering College,8,0,0,1,0,18.1
JP107551,2024-09-01,Software Engineer,3.4,IT Services,Delhi NCR,Tier-2 Engineering College,6,0,0,0,1,12.4
JP103914,2024-09-01,Software Engineer,7.9,Product (Indian),Chennai,Tier-2 Engineering College,5,0,0,1,1,34.0
JP104587,2024-09-01,Data Scientist,5.1,Startup,Bangalore,Premier (IIT/NIT/IIIT),7,0,1,0,0,53.2
JP107888,2024-09-01,Software Engineer,1.6,IT Services,Pune,Premier (IIT/NIT/IIIT),16,0,1,1,1,16.6
JP110986,2024-09-01,Software Engineer,7.0,Product (Indian),Hyderabad,Tier-2 Engineering College,14,0,0,1,0,30.2
JP101555,2024-09-01,Product Manager,7.1,IT Services,Hyderabad,Other,14,0,0,0,1,28.7
JP108754,2024-09-01,Product Manager,3.6,FAANG/MNC,Mumbai,Tier-2 Engineering College,10,0,0,1,0,85.2
JP108187,2024-09-01,Data Scientist,3.7,IT Services,Hyderabad,Tier-2 Engineering College,13,1,1,0,0,27.8
JP101525,2024-09-01,Software Engineer,6.0,Product (Indian),Mumbai,Tier-2 Engineering College,4,0,1,0,0,32.3
JP101519,2024-09-01,Software Engineer,0.9,IT Services,Pune,Premier (IIT/NIT/IIIT),5,0,0,0,0,14.2
JP101518,2024-09-01,DevOps Engineer,3.2,Product (Indian),Remote/Tier-2,Premier (IIT/NIT/IIIT),5,0,0,0,1,26.9
JP108192,2024-09-01,Software Engineer,2.8,Startup,Bangalore,Tier-2 Engineering College,7,0,0,0,0,25.2
JP111413,2024-09-01,Software Engineer,1.1,IT Services,Hyderabad,Other,14,0,0,1,0,10.9
JP101461,2024-09-01,Software Engineer,4.3,Product (Indian),Bangalore,Tier-2 Engineering College,7,0,0,1,0,32.0
JP101456,2024-09-01,DevOps Engineer,3.7,Product (Indian),Mumbai,Tier-2 Engineering College,14,0,0,0,0,34.6
JP111423,2024-09-01,Software Engineer,6.1,Product (Indian),Delhi NCR,Premier (IIT/NIT/IIIT),9,0,0,1,0,56.1
JP101446,2024-09-01,AI/ML Engineer,10.0,IT Services,Hyderabad,Tier-2 Engineering College,13,0,0,1,0,38.1
JP101429,2024-09-01,DevOps Engineer,1.7,IT Services,Mumbai,Premier (IIT/NIT/IIIT),10,1,0,0,1,20.3
JP100889,2024-09-01,Mobile Developer,3.4,IT Services,Mumbai,Other,4,0,0,0,0,13.7
JP101415,2024-09-01,AI/ML Engineer,4.9,FAANG/MNC,Bangalore,Tier-2 Engineering College,12,0,0,1,0,79.4
JP101406,2024-09-01,AI/ML Engineer,3.5,IT Services,Chennai,Premier (IIT/NIT/IIIT),15,0,1,0,0,22.6
JP100894,2024-09-01,Software Engineer,2.0,Startup,Remote/Tier-2,Other,9,0,0,1,1,12.7
JP111378,2024-09-01,Software Engineer,4.2,IT Services,Delhi NCR,Tier-2 Engineering College,12,0,0,0,0,18.2
JP101405,2024-09-01,AI/ML Engineer,8.7,Startup,Mumbai,Other,15,0,0,1,1,45.9
JP101597,2024-09-01,AI/ML Engineer,5.1,FAANG/MNC,Delhi NCR,Premier (IIT/NIT/IIIT),13,0,1,0,0,141.1
JP101609,2024-09-01,Data Scientist,3.8,Product (Indian),Hyderabad,Tier-2 Engineering College,6,0,1,0,1,39.9
JP100836,2024-09-01,AI/ML Engineer,1.4,Product (Indian),Remote/Tier-2,Tier-2 Engineering College,11,0,0,0,1,19.4
JP108131,2024-09-01,Software Engineer,5.5,IT Services,Bangalore,Tier-2 Engineering College,7,0,0,1,1,21.2
JP101735,2024-09-01,Software Engineer,5.0,FAANG/MNC,Mumbai,Tier-2 Engineering College,11,0,0,0,0,62.2
JP101730,2024-09-01,Software Engineer,3.4,IT Services,Mumbai,Tier-2 Engineering College,6,0,0,1,0,17.6
JP108751,2024-09-01,Software Engineer,1.0,Product (Indian),Chennai,Premier (IIT/NIT/IIIT),4,0,0,1,0,23.6
JP101712,2024-09-01,DevOps Engineer,0.6,IT Services,Mumbai,Tier-2 Engineering College,3,0,0,0,0,13.2
JP101685,2024-09-01,Software Engineer,3.3,FAANG/MNC,Chennai,Other,7,0,1,1,0,45.5
JP101665,2024-09-01,Software Engineer,0.7,IT Services,Remote/Tier-2,Tier-2 Engineering College,6,0,0,0,1,7.0
JP101662,2024-09-01,Product Manager,3.1,Product (Indian),Mumbai,Tier-2 Engineering College,12,0,0,1,0,40.7
JP101661,2024-09-01,Product Manager,3.4,Product (Indian),Hyderabad,Tier-2 Engineering College,12,0,0,0,0,46.0
JP101658,2024-09-01,Software Engineer,5.4,Product (Indian),Pune,Premier (IIT/NIT/IIIT),15,0,0,1,0,54.3
JP111329,2024-09-01,Data Scientist,9.7,IT Services,Mumbai,Tier-2 Engineering College,14,0,0,0,0,22.4
JP101646,2024-09-01,Data Scientist,3.2,IT Services,Bangalore,Tier-2 Engineering College,15,0,1,1,0,27.6
JP111335,2024-09-01,Software Engineer,3.1,Product (Indian),Pune,Tier-2 Engineering College,9,0,0,0,0,29.8
JP101630,2024-09-01,Mobile Developer,15.1,Product (Indian),Delhi NCR,Other,4,0,0,0,0,27.3
JP108161,2024-09-01,Data Scientist,6.3,Product (Indian),Bangalore,Tier-2 Engineering College,6,0,0,0,0,44.2
JP111339,2024-09-01,Product Manager,2.9,Startup,Delhi NCR,Tier-2 Engineering College,6,1,1,0,0,60.8
JP108170,2024-09-01,DevOps Engineer,4.9,FAANG/MNC,Chennai,Tier-2 Engineering College,4,0,0,0,1,48.0
JP101399,2024-09-01,AI/ML Engineer,7.3,Product (Indian),Bangalore,Other,7,1,0,1,1,69.4
JP101379,2024-09-01,DevOps Engineer,2.5,FAANG/MNC,Mumbai,Other,12,0,0,0,0,51.1
JP108825,2024-09-01,DevOps Engineer,3.8,IT Services,Chennai,Tier-2 Engineering College,9,0,0,0,0,13.9
JP111521,2024-09-01,Software Engineer,7.0,Product (Indian),Bangalore,Tier-2 Engineering College,9,0,0,1,0,39.6
JP101193,2024-09-01,Data Scientist,4.9,FAANG/MNC,Pune,Tier-2 Engineering College,5,0,0,0,0,72.8
JP101190,2024-09-01,Software Engineer,3.8,IT Services,Bangalore,Tier-2 Engineering College,12,0,0,0,0,18.0
JP108290,2024-09-01,Software Engineer,1.2,Product (Indian),Bangalore,Other,8,0,0,0,0,17.3
JP108380,2024-09-01,Software Engineer,0.2,IT Services,Mumbai,Other,14,0,1,1,0,12.3
JP108300,2024-09-01,Software Engineer,6.2,Startup,Mumbai,Other,6,0,0,1,0,31.1
JP100948,2024-09-01,Software Engineer,2.9,FAANG/MNC,Bangalore,Tier-2 Engineering College,5,0,1,0,0,60.2
JP101121,2024-09-01,AI/ML Engineer,1.1,IT Services,Pune,Other,13,0,0,0,0,12.2
JP108785,2024-09-01,Data Scientist,3.7,Startup,Mumbai,Premier (IIT/NIT/IIIT),12,1,1,0,0,46.2
JP101098,2024-09-01,Product Manager,6.8,IT Services,Bangalore,Other,12,0,0,1,1,25.0
JP100957,2024-09-01,Data Scientist,0.6,IT Services,Delhi NCR,Tier-2 Engineering College,9,0,0,1,0,10.9
JP100960,2024-09-01,Mobile Developer,4.6,IT Services,Bangalore,Premier (IIT/NIT/IIIT),10,0,0,0,1,23.4
JP101095,2024-09-01,Data Scientist,9.5,Product (Indian),Mumbai,Other,14,1,0,0,0,51.1
JP111564,2024-09-01,Data Scientist,1.1,Product (Indian),Pune,Other,14,1,1,1,0,41.7
JP108334,2024-09-01,Data Scientist,4.6,Product (Indian),Mumbai,Other,4,0,0,0,1,28.6
